url,status_at_export,data_date,first_seen,last_seen
"https://schoolwith.me/applications/register/50379?program_name=IELTS Super 
Intensive 30%E3%82%B3%E3%83%9E/%E9%80%B1",crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
"https://schoolwith.me/applications/register/60249?program_name=General 
English Part-Time 15%E6%99%82%E9%96%93/%E9%80%B1",crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
"https://schoolwith.me/applications/register/70112?program_name=English for 
Work(20GE%2B10English for Work)30%E3%82%B3%E3%83%9E/%E9%80%B1",crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
"https://schoolwith.me/applications/register/80011?program_name=Business 
English Standard 20%E3%82%B3%E3%83%9E/%E9%80%B1",crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
"https://schoolwith.me/applications/register/89?program_name=Junior 
ESL%E3%82%B3%E3%83%BC%E3%82%B9",crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
https://schoolwith.me/areas/52020,crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
https://schoolwith.me/areas/52033,crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
https://schoolwith.me/areas/6008,crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
https://schoolwith.me/areas/school/1/direction:asc/sort:lowest_fee_per_month/page:2?sort_type=/areas/school/1/direction:asc/sort:lowest_fee_per_month?sort_type%3D%252Fareas%252Fschool%252F1%252Fdirection%253Aasc%252Fsort%253Alowest_fee_per_month%253Fsort_type%253D%25252Fareas%25252Fschool%25252F1%25252Fdirection%25253Adesc%25253Fsort_type%25253D%2525252Fareas%2525252Fschool%2525252F1%2525252Fdirection%2525253Aasc%2525252Fsort%2525253Alowest_fee_per_month%2525253Fsort_type%2525253D%252525252Fareas%252525252Fschool%252525252F1%252525252Fdirection%252525253Adesc%252525253Fsort_type%252525253D%25252525252Fareas%25252525252Fschool%25252525252F1%25252525252Fsort%25252525253Alowest_fee_per_month%25252525252Fdirection%25252525253Aasc,crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
https://schoolwith.me/areas/school/1/direction:asc/sort:lowest_fee_per_month?sort_type=/areas/school/1/direction:desc?sort_type%3D%252Fareas%252Fschool%252F1%252Fdirection%253Aasc%252Fsort%253Alowest_fee_per_month%253Fsort_type%253D%25252Fareas%25252Fschool%25252F1%25252Fdirection%25253Aasc%25252Fsort%25253Alowest_fee_per_month%25253Fsort_type%25253D%2525252Fareas%2525252Fschool%2525252F1%2525252Fdirection%2525253Aasc%2525252Fsort%2525253Alowest_fee_per_month%2525253Fsort_type%2525253D%252525252Fareas%252525252Fschool%252525252F1%252525252Fdirection%252525253Adesc%252525253Fsort_type%252525253D%25252525252Fareas%25252525252Fschool%25252525252F1%25252525252Fdirection%25252525253Aasc%25252525252Fsort%25252525253Alowest_fee_per_month%25252525253Fsort_type%25252525253D%2525252525252Fareas%2525252525252Fschool%2525252525252F1%2525252525252Fdirection%2525252525253Adesc,dup_no_user_canonical,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
https://schoolwith.me/areas/school/1/page:10/direction:asc/sort:lowest_fee_per_month?sort_type=/areas/school/1/direction:asc/sort:lowest_fee_per_month?sort_type%3D%252Fareas%252Fschool%252F1%252Fdirection%253Aasc%252Fsort%253Alowest_fee_per_month%253Fsort_type%253D%25252Fareas%25252Fschool%25252F1%25252Fdirection%25253Adesc%25253Fsort_type%25253D%2525252Fareas%2525252Fschool%2525252F1%2525252Fdirection%2525253Aasc%2525252Fsort%2525253Alowest_fee_per_month%2525253Fsort_type%2525253D%252525252Fareas%252525252Fschool%252525252F1%252525252Fdirection%252525253Adesc%252525253Fsort_type%252525253D%25252525252Fareas%25252525252Fschool%25252525252F1%25252525252Fsort%25252525253Alowest_fee_per_month%25252525252Fdirection%25252525253Aasc,crawled_not_indexed,2026-09-18,2026-09-21T20:26:15,2026-09-21T20:26:15
